texture,rank,beta,alpha,max_iter,phase_iter,phase_method,sdr,sir,sar,mci,bark_entropy,reconstruction_error
rainforest,4,2,0.0,100,50,fast_griffin_lim,26.920685,26.920685,26.92072,-0.9591164,0.1633431,0.031757172
rainforest,4,2,0.0,300,50,griffin_lim,26.98053,26.98053,26.98056,-0.96378905,0.1633431,0.03132276
rainforest,4,2,0.0,300,50,fast_griffin_lim,26.98053,26.98053,26.98056,-0.96378905,0.1633431,0.03132276
rainforest,4,2,0.1,100,50,griffin_lim,21.240906,21.240906,21.240694,40.77726,0.1633431,0.11735294
rainforest,4,2,0.1,100,50,fast_griffin_lim,21.240906,21.240906,21.240694,40.77726,0.1633431,0.11735294
rainforest,4,2,0.1,300,50,griffin_lim,21.229332,21.229332,21.229116,41.1866,0.1633431,0.1176584
rainforest,4,2,0.1,300,50,fast_griffin_lim,21.229332,21.229332,21.229116,41.1866,0.1633431,0.1176584
rainforest,8,0,0.0,100,50,griffin_lim,27.014807,27.014807,27.014845,-1.005083,0.1633431,0.031083582
rainforest,8,0,0.0,100,50,fast_griffin_lim,27.014807,27.014807,27.014845,-1.005083,0.1633431,0.031083582
rainforest,8,0,0.0,300,50,griffin_lim,27.037466,27.037466,27.037506,-0.99588513,0.1633431,0.030922132
rainforest,8,0,0.0,300,50,fast_griffin_lim,27.037466,27.037466,27.037506,-0.99588513,0.1633431,0.030922132
rainforest,8,0,0.1,100,50,griffin_lim,21.07306,21.07306,21.073116,-2.7143967,0.1633431,1.7129955
rainforest,8,0,0.1,100,50,fast_griffin_lim,21.07306,21.07306,21.073116,-2.7143967,0.1633431,1.7129955
rainforest,8,0,0.1,300,50,griffin_lim,21.07306,21.07306,21.073116,-2.7143967,0.1633431,1.7129955
rainforest,8,0,0.1,300,50,fast_griffin_lim,21.07306,21.07306,21.073116,-2.7143967,0.1633431,1.7129955
rainforest,8,1,0.0,100,50,griffin_lim,27.014807,27.014807,27.014845,-1.005083,0.1633431,0.031083582
rainforest,8,1,0.0,100,50,fast_griffin_lim,27.014807,27.014807,27.014845,-1.005083,0.1633431,0.031083582
rainforest,8,1,0.0,300,50,griffin_lim,27.037466,27.037466,27.037506,-0.99588513,0.1633431,0.030922132
rainforest,8,1,0.0,300,50,fast_griffin_lim,27.037466,27.037466,27.037506,-0.99588513,0.1633431,0.030922132
rainforest,8,1,0.1,100,50,griffin_lim,21.07306,21.07306,21.073116,-2.7143967,0.1633431,1.7129955
